contribution_pk,description,family_pk,id,jsondata,latitude,longitude,macroarea,markup_description,name,nzrepresentation,pk,representation
,,9,abar1238,{},6.5805,10.2267,Africa,,Mungbam,,1,180
,,6,abau1245,{},-3.97222,141.324,Papunesia,,Abau,,2,88
,,9,abee1242,{},5.59682,-4.38497,Africa,,Abé,,3,142
,,99,abip1241,{},-29.0,-61.0,South America,,Abipon,,4,129
,,37,abkh1244,{},43.056218,41.159115,Eurasia,,Abkhaz,,5,188
,,56,abua1245,{},-3.461612,142.917031,Papunesia,,Abu' Arapesh,,6,170
,,30,abui1241,{},-8.31058,124.588,Papunesia,,Abui,,7,101
,,229,abun1252,{},-0.57073,132.416,Papunesia,,Abun,,8,195
,,25,acha1250,{},4.38649,-72.2005,South America,,Achagua,,9,100
,,90,ache1245,{},10.8827,30.3187,Africa,,Acheron,,10,120
,,31,ache1246,{},-25.5865,-56.4697,South America,,Aché,,11,16
,,42,achi1256,{},15.073,-90.3513,North America,,Achi,,12,164
,,170,achu1247,{},41.0979,-121.191,North America,,Achumawi,,13,106
,,58,acol1236,{},3.57738,32.5147,Africa,,Acoli,,14,178
,,30,adan1251,{},-8.18958,124.448,Papunesia,,Adang,,15,184
,,20,adny1235,{},-30.1451,138.671,Australia,,Adnyamathanha,,16,2
,,1,adze1240,{},-6.39394,146.294,Papunesia,,Adzera,,17,160
,,199,aeky1238,{},-5.88478,141.532,Papunesia,,Aekyom,,18,120
,,7,afad1236,{},12.0551,14.6343,Africa,,Afade,,19,62
,,7,afar1241,{},12.2281,41.8083,Africa,,Afar,,20,188
,,20,aghu1254,{},-13.735,142.426,Australia,,Aghu Tharnggalu,,21,77
,,36,aghu1255,{},-6.34674,140.043,Papunesia,,Aghu,,22,175
,,18,aghw1237,{},40.374444,47.126667,Eurasia,,Aghwan,,23,147
,,195,agob1244,{},-9.08521,142.532,Papunesia,,Agob-Ende-Kawam,,24,194
,,65,agua1253,{},-5.30044,-77.9218,South America,,Aguaruna,,25,69
,,1,agut1237,{},10.5328,119.655,Papunesia,,Agutaynen,,26,161
,,33,aheu1239,{},17.7655,104.229,Eurasia,,Thavung,,27,192
,,245,aika1237,{},-12.6695,-60.5353,South America,,Aikanã,,28,76
