ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,contributed_datapoints,provenance,Family_name,Family_id,Language_id,level,lineage
abar1238,Mungbam,Africa,6.5805,10.2267,abar1238,,Mandy Lorenzen,Mandy Lorenzen_Mungbam [mij].xlsx 2019-04-30T07:03:41.283821Z,Atlantic-Congo,atla1278,,language,atla1278/volt1241/benu1247/bant1294/sout3152
abau1245,Abau,Papunesia,-3.97222,141.324,abau1245,,"Michael Dunn, Ger Reesink and Ruth Singer","Michael Dunn, Ger Reesink and Ruth Singer_Abau [aau].tsv 2018-06-13T14:16:12.313450Z",Sepik,sepi1257,,language,sepi1257
abee1242,Abbe,Africa,5.59682,-4.38497,abee1242,,Roberto Herrera,Roberto Herrera_Abbe [aba].xlsx 2018-06-13T14:16:12.589452Z,Atlantic-Congo,atla1278,,language,atla1278/volt1241/kwav1236/nyoa1234/agne1238
abip1241,Abipon,South America,-29.0,-61.0,abip1241,,Roberto Herrera,Roberto Herrera_Abipon [axb].xlsx 2018-06-13T14:16:12.589452Z,Guaicuruan,guai1249,,language,guai1249/guai1250
abkh1244,Abkhaz,Eurasia,43.056218,41.159115,abkh1244,,Biu Huntington-Rainey,Biu Huntington-Rainey_Abkhaz [abk].xlsx 2018-06-13T14:16:11.877446Z,Abkhaz-Adyge,abkh1242,,language,abkh1242/abkh1243
abui1241,Abui,Papunesia,-8.31058,124.588,abui1241,,"Michael Dunn, Ger Reesink and Ruth Singer","Michael Dunn, Ger Reesink and Ruth Singer_Abui [abz].tsv 2018-06-13T14:16:12.313450Z",Timor-Alor-Pantar,timo1261,,language,timo1261/alor1249/alor1250
abun1252,Abun,Papunesia,-0.57073,132.416,abun1252,,Jay Latarche,Jay Latarche_Abun [kgr].xlsx 2018-11-10T17:37:07.269457Z,,,,language,
acha1250,Achagua,South America,4.38649,-72.2005,acha1250,,Swintha Danielsen,Swintha Danielsen_Achagua [aca].tsv 2018-06-13T14:16:12.701453Z,Arawakan,araw1281,,language,araw1281/nort2990/inla1264/japu1236/nucl1764/piap1247
ache1245,Acheron,Africa,10.8827,30.3187,ache1245,,Sören Pieper,Sören Pieper_Acheron [acz].xlsx 2018-06-13T14:16:12.713453Z,Narrow Talodi,narr1279,,language,narr1279/bura1298/ache1247
ache1246,Aché,South America,-25.5865,-56.4697,ache1246,,Claire Bowern and Patience Epps,Claire Bowern and Patience Epps_Aché [ache1246].tsv 2018-11-10T17:37:37.641699Z,Tupian,tupi1275,,language,tupi1275/mawe1252/awet1245/tupi1276/sout3271/tupi1277
achi1256,Achi,North America,15.073,-90.3513,achi1256,,Roberto Herrera,Roberto Herrera_Achi [acr].xlsx 2019-04-30T07:03:41.455825Z,Mayan,maya1287,,language,maya1287/core1254/quic1274/grea1276/core1251/quic1275
achu1247,Achumawi,North America,41.0979,-121.191,achu1247,,Kristin Sverredal,Kristin Sverredal_Achumawi [acv].xlsx 2018-07-16T09:38:31.937427Z,Palaihnihan,pala1350,,language,pala1350
acol1236,Acoli,Africa,3.57738,32.5147,acol1236,,Cheryl Akinyi Oluoch,Cheryl Akinyi Oluoch_Acoli [ach].xlsx 2018-06-13T14:16:11.885447Z,Nilotic,nilo1247,,language,nilo1247/west2493/luob1235/sout2831
adny1235,Adnyamathanha,Australia,-30.1451,138.671,adny1235,,Claire Bowern and Patience Epps,Claire Bowern and Patience Epps_Adnyamathanha [adny1235].tsv 2018-06-13T14:16:11.889446Z,Pama-Nyungan,pama1250,,language,pama1250/aran1266/thur1253/core1260/nort2752
adze1240,Adzera,Papunesia,-6.39394,146.294,adze1240,,Daniel Prestipino,Daniel Prestipino_Adzera [adz].xlsx 2018-06-13T14:16:11.901447Z,Austronesian,aust1307,,language,aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/uppe1423
aeky1238,Aekyom,Papunesia,-5.88478,141.532,aeky1238,,Harald Hammarström,Harald Hammarström_Aekyom [awi].xlsx 2019-04-30T07:03:41.067816Z,Kamula-Elevala,kamu1264,,language,kamu1264/awin1249
afad1236,Afade,Africa,12.0551,14.6343,afad1236,,Frederick Schmidt,Frederick Schmidt_Afade [aal].xlsx 2018-06-13T14:16:11.917447Z,Afro-Asiatic,afro1255,,language,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268
afar1241,Afar,Africa,12.2281,41.8083,afar1241,,Jemima Goodall,Jemima Goodall_Afar [aar].xlsx 2018-11-07T17:00:40.443418Z,Afro-Asiatic,afro1255,,language,afro1255/cush1243/east2699/lowl1267/saho1245
aghu1254,Aghu Tharnggalu,Australia,-13.735,142.426,aghu1254,,Claire Bowern and Patience Epps,Claire Bowern and Patience Epps_Aghu Tharnggalu [aghu1254].tsv 2018-11-10T17:37:37.641699Z,Pama-Nyungan,pama1250,,language,pama1250/pama1251/alay1234/thay1250
aghu1255,Aghu,Papunesia,-6.34674,140.043,aghu1255,,Eloisa Ruppert,Eloisa Ruppert_Aghu [ahh].xlsx 2018-06-13T14:16:11.905447Z,Nuclear Trans New Guinea,nucl1709,,language,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234
aghw1237,Aghwan,Eurasia,40.374444,47.126667,aghw1237,,Nataliia Hübler,Nataliia Hübler_Aghwan [xag].xlsx 2018-11-07T17:00:40.475418Z,Nakh-Daghestanian,nakh1245,,language,nakh1245/dagh1238/lezg1248/nucl1321/east2790/udia1235
agob1244,Agob,Papunesia,-9.08521,142.532,agob1244,,Kate Lynn Lindsey,Kate Lynn Lindsey_Agob [kit].xlsx 2019-04-30T07:03:41.235820Z,Pahoturi,paho1240,,language,paho1240
agua1253,Aguaruna,South America,-5.30044,-77.9218,agua1253,,Claire Bowern and Patience Epps,Claire Bowern and Patience Epps_Aguaruna [agua1253].tsv 2018-11-10T17:37:37.641699Z,Chicham,jiva1245,,language,jiva1245
agut1237,Agutaynen,Papunesia,10.5328,119.655,agut1237,,Rebekah Hayes,Rebekah Hayes_Agutaynen [agn].xlsx 2019-04-30T07:03:41.411824Z,Austronesian,aust1307,,language,aust1307/mala1545/kala1389
aika1237,Aikana,South America,-12.6695,-60.5353,aika1237,,Harald Hammarström,Harald Hammarström_Aikana [tba].tsv 2018-06-13T14:16:11.953447Z,,,,language,
ainu1240,"Ainu (Hokkaido, Saru, Colloquial Ainu)",Eurasia,43.633654,142.46167,ainu1240,,Nataliia Hübler,"Nataliia Hübler_Ainu (Hokkaido, Saru, Colloquial Ainu) [ain].xlsx 2018-11-07T17:00:40.475418Z",Ainu,ainu1252,,language,ainu1252/hokk1250
aito1238,Aiton,Eurasia,26.5145,92.3169,aito1238,,Jeremy Collins,Jeremy Collins_Aiton [aio].tsv 2018-06-13T14:16:12.221449Z,Tai-Kadai,taik1256,,language,taik1256/kamt1241/beta1258/daic1237/cent2251/wenm1239/sapa1255/sout3184/sout2743/shan1276/assa1264
ajab1235,Aja (Gbe),Africa,7.06634,1.64992,ajab1235,,Richard Kowalik,Richard Kowalik_Aja (Gbe) [ajg].xlsx 2018-06-13T14:16:12.565452Z,Atlantic-Congo,atla1278,,language,atla1278/volt1241/kwav1236/gbee1241
ajas1235,Aja (Sudan),Africa,8.58003,25.6122,ajas1235,,Jakob Lesage,Jakob Lesage_Aja (Sudan) [aja].xlsx 2018-06-13T14:16:11.997447Z,Kresh-Aja,kres1240,,language,kres1240
ajie1238,Ajie,Papunesia,-21.3029,165.468,ajie1238,,Hedvig Skirgård,Hedvig Skirgård_Ajie [aji].xlsx 2019-04-30T06:33:28.466064Z,Austronesian,aust1307,,language,aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/sout3189/houa1234
ajyi1238,Ajyíninka Apurucayali,South America,-9.82364,-74.61947,ajyi1238,,Claire Bowern and Patience Epps,Claire Bowern and Patience Epps_Ajyíninka Apurucayali [ajyi1238].tsv 2018-11-10T17:37:37.641699Z,Arawakan,araw1281,,language,araw1281/sout3131/prea1240/asha1244/asha1241/asha1242/ashe1271
akab1249,Aka-Bea,Eurasia,12.3782,92.7818,akab1249,,Rhiannon Schembri,Rhiannon Schembri_Aka-Bea [abj].xlsx 2018-11-07T17:00:40.591419Z,Great Andamanese,grea1241,,language,grea1241/midd1356/sout2683
akaj1239,Aka-Jeru,Eurasia,13.1525,92.9504,akaj1239,,Harald Hammarström,Harald Hammarström_Aka-Jeru [akj].tsv 2018-06-13T14:16:11.953447Z,Great Andamanese,grea1241,,language,grea1241/nort3276/nort2678/jeru1239
akan1250,Akan,Africa,6.34756,-1.33254,akan1250,,Hedvig Skirgård,Hedvig Skirgård_Akan [aka].tsv 2019-04-30T07:03:41.091816Z,Atlantic-Congo,atla1278,,language,atla1278/volt1241/kwav1236/nyoa1234/poto1254/tano1248/cent2262/akan1251
